ID,id_rechov,me_k_rechov,me_shem_rechov,ad_k_rechov,ad_shem_rechov,tr_from,tr_to,k_sug,t_sug,k_sgira,shaot,sw_laila
383,1511,27,הירקון,2051,רוקח ישראל,30/06/2016 0:00,01/07/2016 0:00,5,ארוע,2,20:00-05:00 ירועי לילה לבן 30.6.16 רח' יסגרו לתנועה משעה 20:00 עד 05:00 למחרת.,1
384,1625,0,0,0,0,16/11/2016 0:00,16/11/2016 0:00,5,ארוע,2,19:00-00:00 ארוע מרוץ לילה 2016  ביום ד' ה 16.11.16 בין השעות 19:00 ל 00:00.,1
385,2866,203,התערוכה,314,"של""ג",28/02/2020 0:00,28/02/2020 0:00,23,ארוע מרתון,2,04:00-14:00 ,1
386,2899,496,אבן גבירול,2106,אשכול לוי,28/02/2020 0:00,28/02/2020 0:00,23,ארוע מרתון,2,04:00-14:00 ,1
387,2260,2253,ארגוב אלכסנדר (סשא),2218,סנה משה,05/05/2018 0:00,05/05/2018 0:00,5,ארוע,2,16:00-19:00 אירוע ג'ירו איטליה 5.5.2018 יום שבת,0
388,4076,337,"ח""ן",204,בן גוריון,07/11/2020 0:00,07/11/2020 0:00,5,ארוע,2,16:30-22:00 אירוע עצרת רבין,1
389,2925,496,אבן גבירול,544,בלוך דוד,29/03/2020 0:00,02/04/2020 0:00,21,"נת""ע – הרכבת הקלה",2,,0
390,4332,985,ברודצקי,2037,קרן היסוד,10/04/2022 0:00,14/04/2022 0:00,10,שיפור תשתיות,2,09:00-17:00 ביצוע קרצוף ריבוד,0
391,2017,0,0,0,0,16/11/2017 0:00,16/11/2017 0:00,5,ארוע,2,"19:00-21:00 אירוע "" מרוץ אוניברסיטה 2017 הרחובות יסגרו לתנועת כלי רכב משעה 19:00 עד 21:00",1
392,294,516,"ב""ק ישראל",653,בן אביגדור,11/11/2012 0:00,11/02/2013 0:00,1,שיפור תשתיות מדרכות וכביש,2,20:00-05:00 סגור  בימים א' - ד' בלילה בלבד,1
393,2198,801,בני אפרים,800,נמיר מרדכי,19/04/2018 0:00,19/04/2018 0:00,5,ארוע,2,19:00-23:00 19.4.2018 יום חמישי אירוע מצעד האור הכבישים ייחסמו לתנועה החל מ 19:00 עד 23:00.,1
394,964,788,שאול המלך,193,ארלוזורוב,21/04/2015 0:00,21/04/2015 0:00,5,ארוע,2,"18:00-00:01 ערב יום הזיכרון - טכס ""שרים בכיכר רבין"" 21/4/15",1
395,1047,54,בגין מנחם,25,בן יהודה,25/06/2015 0:00,26/06/2015 0:00,5,ארוע,2,21:00-06:00 אירוע לילה לבן,1
396,4316,985,ברודצקי,2037,קרן היסוד,06/03/2022 0:00,10/03/2022 0:00,10,שיפור תשתיות,2,09:00-17:00 פרויקט מצוות -עבודות מח' דרכים,0
397,2868,3489,קויפמן יחזקאל,314,"של""ג",28/02/2020 0:00,28/02/2020 0:00,23,ארוע מרתון,2,04:00-11:30 ,1
398,529,644,אלון יגאל,647,לוחמי גליפולי,03/10/2013 0:00,31/12/2013 0:00,1,שיפור תשתיות מדרכות וכביש,1,22:00-05:00 ,1
399,4295,99,גורדון יהודה ליב,203,התערוכה,25/02/2022 0:00,25/02/2022 0:00,23,ארוע מרתון,2,"03:30-14:00 מרתון ת""א",1
400,2444,3708,הלר חיים,3570,אילת,28/09/2018 0:00,28/09/2018 0:00,5,ארוע,2,"04:00-14:00 סובב ת""א", מסע אופניים
401,4161,194,ז'בוטינסקי,314,"של""ג",25/06/2021 0:00,25/06/2021 0:00,5,ארוע,2,09:00-19:00 אירוע מצעד הגאווה,0
402,2437,801,בני אפרים,203,התערוכה,28/09/2018 0:00,28/09/2018 0:00,5,ארוע,2,"04:00-14:00 סובב ת""א", מסע אופניים
403,1832,191,שלמה המלך,496,אבן גבירול,27/05/2017 0:00,28/05/2017 0:00,5,ארוע,2,17:30-00:00 עצרת שלום עכשיו,1
404,2020,2050,קלוזנר,2423,רוזנפלד שלום,16/11/2017 0:00,16/11/2017 0:00,5,ארוע,2,,0
405,243,3060,קדם,3184,טולוז,06/08/2012 0:00,06/11/2012 0:00,1,שיפור תשתיות מדרכות וכביש,2,,0
406,851,445,קפלן אליעזר,788,שאול המלך,26/12/2014 0:00,26/12/2014 0:00,5,ארוע,2,"11:00-17:00 מסיבת רחוב ברחבת בית אריאלה שד' שאול המלך בת""א.",0
407,4130,647,לוחמי גליפולי,644,אלון יגאל,15/03/2021 0:00,25/03/2021 0:00,4,קרצוף וסלילה,2,09:00-17:00 חסימה מלאה מסלול דרומי,0
408,1171,3000,בן צבי,3855,ידין יגאל,02/10/2015 0:00,02/10/2015 0:00,5,ארוע,2,06:31-13:00 אירוע מסע אופניים,0
409,2130,800,נמיר מרדכי,496,אבן גבירול,02/03/2018 0:00,02/03/2018 0:00,5,ארוע,2,09:30-18:00 מסיבת רחוב במסגרת אירועי פורים בכיכר המדינה 2.3.18 יום שישי מ 09:30 עד 18:00,0
410,1348,8,רוטשילד,27,הירקון,26/02/2016 0:00,26/02/2016 0:00,23,ארוע מרתון,2,"04:00-14:00 אירוע מרתון ת""א 26.2.16",1
411,1333,1258,פרופס,2118,"עגנון ש""י",26/02/2016 0:00,26/02/2016 0:00,23,ארוע מרתון,2,"04:00-14:00 אירוע מרתון ת""א 26.2.16",1
412,3002,4014,עבאס,0,0,07/07/2020 0:00,29/10/2020 0:00,1,שיפור תשתיות מדרכות וכביש,2,20:00-20:00 במסגרת פרוייקט חלמיש - בקטע רחוב עבאס לשוק התקוה,1
413,4168,25,בן יהודה,200,הרברט סמואל,25/06/2021 0:00,25/06/2021 0:00,5,ארוע,2,09:00-19:00 אירוע מצעד הגאווה,0
414,2663,3346,שמעיה,3330,בן עזריה אלעזר,26/05/2019 0:00,22/10/2019 0:00,1,שיפור תשתיות מדרכות וכביש,2,,0
415,3041,197,נורדאו,187,דיזנגוף,06/09/2020 0:00,10/09/2020 0:00,2,הפרעה לתנועה,2,22:00-05:00 הסרת ערוגות  חסימה מלאה בשני המסלולים . בתאריך 06.09.2020 החסימה תבוצע החל משעה 01.00 עד 05.00  בכל עת יתאפשר מעבר לתחבורה ציבורית,1
416,1184,4,אלנבי,424,מסריק,20/10/2015 0:00,21/10/2015 0:00,5,ארוע,2,19:00-00:01 ארוע מרוץ לילה 2015,1
417,850,54,בגין מנחם,496,אבן גבירול,26/12/2014 0:00,26/12/2014 0:00,5,ארוע,2,11:00-17:00 ,0
418,2255,2106,אשכול לוי,496,אבן גבירול,05/05/2018 0:00,05/05/2018 0:00,5,ארוע,2,14:30-19:00 אירוע ג'ירו איטליה 5.5.2018 יום שבת,0
419,1028,3489,קויפמן יחזקאל,203,התערוכה,12/06/2015 0:00,12/06/2015 0:00,5,ארוע,2,,0
420,2626,0,0,0,0,09/05/2019 0:00,09/05/2019 0:00,5,ארוע,2,11:00-14:00 כל הרחובות המובילים מבן יהודה לכיוון מערב יחסמו עקב מטס יום העצמאות,0
421,767,310,מלכי ישראל,187,דיזנגוף,28/10/2014 0:00,28/10/2014 0:00,5,ארוע,2,,0
422,2172,191,שלמה המלך,310,מלכי ישראל,17/04/2018 0:00,17/04/2018 0:00,5,ארוע,2,"18:30-23:30 ערב יום הזיכרון 17.4.18 אירוע ""שרים בכיכר"" הרחובות ייסגרו לתנועה החל מ 18:30 עד 23:30",1
423,3012,14,"מזא""ה",0,0,27/07/2020 0:00,16/08/2020 0:00,10,שיפור תשתיות,1,22:00-05:00 ,1
424,305,193,ארלוזורוב,194,ז'בוטינסקי,19/11/2012 0:00,31/12/2012 0:00,1,שיפור תשתיות מדרכות וכביש,2,09:00-16:00 קרצוף וסלילה,0
